Month,Year,County,Med_Sales,Rec_Sales,Med_Blank_Code,Rec_Blank_Code
2,2014,Pitkin,161237,,,NL
2,2014,Prowers,,,NL,NL
2,2014,Pueblo,418489,823156,,
2,2014,Rio Blanco,,,NL,NL
2,2014,Rio Grande,,,NL,NL
2,2014,Routt,209165,,,NR
2,2014,Saguache,,,NL,NL
2,2014,San Juan,,,NL,NL
2,2014,San Miguel,94099,230470,,
2,2014,Sedgwick,,,NR,NL
2,2014,Summit,244818,1063383,,
2,2014,Teller,,,NR,NL
2,2014,Washington,,,NL,NL
2,2014,Weld,671024,,,NR
2,2014,Yuma,,,NL,NL
2,2015,Adams,434375,,,NR
2,2015,Alamosa,,,NR,NL
2,2015,Arapahoe,1402007,2114064,,
2,2015,Archuleta,,,NR,NR
2,2015,Baca,,,NL,NL
2,2015,Bent,,,NL,NL
2,2015,Boulder,2257951,3209140,,
2,2015,Broomfield,,,NL,NL
2,2015,Chaffee,,,NR,NR
2,2015,Cheyenne,,,NL,NL
2,2015,Clear Creek,77001,416086,,
2,2015,Conejos,,,NL,NL
2,2015,Costilla,,,NR,NR
2,2015,Crowley,,,NL,NL
2,2015,Custer,,,NL,NL
2,2015,Delta,,,NL,NL
2,2015,Denver,12841486,14411812,,
2,2015,Dolores,,,NL,NL
2,2015,Douglas,,,NL,NL
2,2015,Eagle,292481,735296,,
2,2015,Elbert,,,NL,NL
2,2015,El Paso,5578020,,,NR
2,2015,Fremont,175136,,,NL
2,2015,Garfield,348057,535881,,
2,2015,Gilpin,28410,104647,,
2,2015,Grand,,,NR,NR
2,2015,Gunnison,,224407,NR,
2,2015,Hinsdale,,,NL,NL
2,2015,Huerfano,,,NL,NL
2,2015,Jackson,,,NL,NL
2,2015,Jefferson,1700441,1960725,,
2,2015,Kiowa,,,NL,NL
2,2015,Kit Carson,,,NL,NL
2,2015,Lake,,,NL,NR
2,2015,La Plata,892507,840795,,
2,2015,Larimer,1111034,1685559,,
2,2015,Las Animas,,287148,NR,
2,2015,Lincoln,,,NL,NL
2,2015,Logan,,,NL,NL
2,2015,Mesa,,,NR,NR
2,2015,Mineral,,,NL,NL
2,2015,Moffat,,,NR,NL
2,2015,Montezuma,104595,159174,,
2,2015,Montrose,,,NR,NL
2,2015,Morgan,,,NR,NR
2,2015,Otero,,,NL,NL
2,2015,Ouray,,,NR,NR
2,2015,Park,,,NR,NR
2,2015,Phillips,,,NL,NL
2,2015,Pitkin,75050,705757,,
2,2015,Prowers,,,NL,NL
2,2015,Pueblo,358140,1039417,,
2,2015,Rio Blanco,,,NL,NL
2,2015,Rio Grande,,,NL,NL
2,2015,Routt,,,NR,NR
2,2015,Saguache,,,NL,NR
2,2015,San Juan,,,NL,NR
2,2015,San Miguel,41195,300473,,
2,2015,Sedgwick,,,NR,NR
2,2015,Summit,246053,1393552,,
2,2015,Teller,,,NR,NL
2,2015,Washington,,,NL,NL
2,2015,Weld,364563,1270638,,
2,2015,Yuma,,,NL,NL
2,2016,Adams,331503,2597102,,
2,2016,Alamosa,,,NR,NL
2,2016,Arapahoe,1502406,6229934,,
2,2016,Archuleta,,,NR,NR
2,2016,Baca,,,NL,NL
2,2016,Bent,,,NL,NL
