stateabbrv,statename,stfips,areatyname,areaname,areatype,area,periodyear,periodtype,pertypdesc,period,inctype,incdesc,incsource,incsrcdesc,income,incrank,population,releasedate
CO,Colorado,8,County,Arapahoe County,4,5,1991,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),10005987000,3,406279,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1991,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),24628,3,406279,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1992,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),10754880000,2,420063,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1992,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),25603,4,420063,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1993,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),11554698000,3,431731,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1993,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),26764,4,431731,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1993,1,Annual,0,3,Median Household Income - United States Census,1,Census,43890,4,431731,
CO,Colorado,8,County,Arapahoe County,4,5,1994,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),12538527000,2,440965,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1994,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),28434,3,440965,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1995,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),13403810000,2,446821,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1995,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),29998,3,446821,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1995,1,Annual,0,3,Median Household Income - United States Census,1,Census,46765,6,446821,
CO,Colorado,8,County,Arapahoe County,4,5,1996,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),14565486000,2,454208,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1996,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),32068,3,454208,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1997,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),15307395000,3,462681,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1997,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),33084,4,462681,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1997,1,Annual,0,3,Median Household Income - United States Census,1,Census,50748,7,462681,
CO,Colorado,8,County,Arapahoe County,4,5,1998,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),17024390000,3,472544,20161117
CO,Colorado,8,County,Arapahoe County,4,5,1998,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),36027,4,472544,20161117
CO,Colorado,8,County,Arapahoe County,4,5,1998,1,Annual,0,3,Median Household Income - United States Census,1,Census,52576,8,472544,
CO,Colorado,8,County,Arapahoe County,4,5,1999,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),18585308000,2,482262,20161117
CO,Colorado,8,County,Arapahoe County,4,5,1999,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),38538,3,482262,20161117
CO,Colorado,8,County,Arapahoe County,4,5,1999,1,Annual,0,3,Median Household Income - United States Census,1,Census,37234,4,482262,
CO,Colorado,8,County,Arapahoe County,4,5,2000,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),20990165000,2,491482,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2000,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),42708,3,491482,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2000,1,Annual,0,3,Median Household Income - United States Census,1,Census,55359,8,487967,
CO,Colorado,8,County,Arapahoe County,4,5,2001,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),20341083000,3,502393,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2001,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),40488,10,502393,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2001,1,Annual,0,3,Median Household Income - United States Census,1,Census,55878,9,502810,
CO,Colorado,8,County,Arapahoe County,4,5,2002,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),20456037000,3,508936,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2002,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),40194,10,508936,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2002,1,Annual,0,3,Median Household Income - United States Census,1,Census,55188,8,509598,
CO,Colorado,8,County,Arapahoe County,4,5,2003,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),20706424000,3,513690,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2003,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),40309,9,513690,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2003,1,Annual,0,3,Median Household Income - United States Census,1,Census,55907,9,514406,
CO,Colorado,8,County,Arapahoe County,4,5,2004,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),20850866000,3,518971,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2004,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),40177,11,518971,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2004,1,Annual,0,3,Median Household Income - United States Census,1,Census,55615,9,519785,
CO,Colorado,8,County,Arapahoe County,4,5,2005,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),21998201000,2,524466,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2005,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),41944,10,524466,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2005,1,Annual,0,3,Median Household Income - United States Census,1,Census,55159,14,525293,
CO,Colorado,8,County,Arapahoe County,4,5,2006,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),24329881000,2,531619,20161117
