Month,Year,County,Med_Tax_Rev,Rec_Tax_Rev,Med_RemainderOfState_Counties,Rec_RemainderOfState_Counties,Med_Blank_Code,Rec_Blank_Code
2,2016,Adams,10424,75954,,,,
2,2016,Arapahoe,41280,169337,,,,
2,2016,Archuletta,,12104,,,,
2,2016,Boulder,77845,141228,,,,
2,2016,Chaffee,,9809,,,,
2,2016,Clear Creek,2663,17808,,,,
2,2016,Denver,403927,546434,,,,
2,2016,Eagle,8443,34568,,,,
2,2016,Garfield,10145,20432,,,,
2,2016,Gilpin,,2602,,,,
2,2016,Grand,,8248,,,,
2,2016,Gunnison,,11923,,,,
2,2016,Jefferson,53493,83812,,,,
2,2016,La Plata,10221,33211,,,,
2,2016,Larimer,34586,76031,,,,
2,2016,Las Animas,,25320,,,,
2,2016,Montezuma,2225,15259,,,,
2,2016,Park,,5691,,,,
2,2016,Pitkin,5244,22303,,,,
2,2016,Pueblo,18984,37624,,,,
2,2016,Routt,5702,23169,,,,
2,2016,San Miguel,,8280,,,,
2,2016,Summit,5433,59410,,,,
2,2016,Weld,11465,49478,,,,
2,2016,Remainder of State,17002,94078,"Alamosa, Archuleta, Chaffee, Costilla, Gilpin, Grand, Gunnison, Las Animas, Mesa, Moffat, Montrose, Morgan, Ouray, Park, San Miguel, Sedgwick and Teller","Conejos, Costilla, El Paso, Huerfano, Lake, Mesa, Morgan, Ouray, Saguache and Sedgwick",,
1,2016,Adams,13325.84,80780.43,,,,
1,2016,Arapahoe,57608,192698.8,,,,
1,2016,Archuletta,,13143.02,,,,
1,2016,Boulder,78352.34,147666,,,,
1,2016,Clear Creek,1654.24,13107.1,,,,
1,2016,Denver,532544.51,623071.7,,,,
1,2016,Eagle,8600.65,28934,,,,
1,2016,Garfield,10258.21,20021,,,,
1,2016,Gilpin,,4231.51,,,,
1,2016,Grand,,7869,,,,
1,2016,Gunnison,,16366.65,,,,
1,2016,Jefferson,52362.51,99504.98,,,,
1,2016,La Plata,10374,38850.85,,,,
1,2016,Larimer,38714.44,92223.06,,,,
1,2016,Las Animas,,37037.56,,,,
1,2016,Montezuma,2522,16163,,,,
1,2016,Park,,5638.87,,,,
1,2016,Pitkin,2269.09,18546.89,,,,
1,2016,Pueblo,16291.63,38557.01,,,,
1,2016,Routt,5707,19239,,,,
1,2016,San Miguel,1285,9392,,,,
1,2016,Summit,6563,47979,,,,
1,2016,Weld,10788,52765,,,,
1,2016,Remainder of State,20608.7,120294.3,"Alamosa, Archuleta, Chaffee, Costilla, Gilpin, Grand, Gunnison, Las Animas, Mesa, Moffat, Montrose, Morgan, Ouray, Parkand Sedgwick","Chaffee, Conejos, Costilla, El Paso, Huerfano, Lake, Mesa, Morgan, Ouray, Saguache and Sedgwick.",,
3,2016,Adams,12248,87812,,,,
3,2016,Arapahoe,47138,194786,,,,
3,2016,Boulder,71056,129140,,,,
3,2016,Chaffee,,8278,,,,
3,2016,Clear Creek,3720,16839,,,,
3,2016,Conejos,,4639,,,,
3,2016,Costilla,,4627,,,,
3,2016,Denver,456044,569776,,,,
3,2016,Eagle,8036,33338,,,,
3,2016,Garfield,8715,21612,,,,
3,2016,Gilpin,,4060,,,,
3,2016,Grand,,7975,,,,
3,2016,Gunnison,,6715,,,,
3,2016,Jefferson,42654,87068,,,,
3,2016,La Plata,10103,44645,,,,
3,2016,Larimer,31192,69294,,,,
3,2016,Las Animas,,2701,,,,
3,2016,Montezuma,2883,17237,,,,
3,2016,Park,,5117,,,,
3,2016,Pitkin,3238,26688,,,,
3,2016,Pueblo,25507,36195,,,,
3,2016,Routt,6097,22696,,,,
3,2016,San Miguel,1558,12861,,,,
3,2016,Summit,7018,73994,,,,
3,2016,Weld,9615,54678,,,,
3,2016,Remainder of State,23448,89878,"Alamosa, Archuleta, Chaffee, Costilla, Fremont, Gilpin, Grand, Gunnison, Las Animas, Mesa, Moffat, Montrose, Morgan, Ouray, Park, San Juan, Sedgwick and Teller","Archuletta, El Paso, Huerfano, Lake, Mesa, Morgan, Ouray,Saguache, San Juan and Sedgwick.",,
4,2016,Adams,4602,37034,,,,
4,2016,Arapahoe,22393,163688,,,,
4,2016,Boulder,73164,131661,,,,
4,2016,Chaffee,,10012,,,,
4,2016,Clear Creek,2602,14678,,,,
4,2016,Conejos,,6067,,,,
4,2016,Costilla,,5373,,,,
4,2016,Denver,450002,519517,,,,
4,2016,Eagle,8681,33497,,,,
4,2016,Garfield,11204,30434,,,,
4,2016,Gilpin,,4751,,,,
4,2016,Grand,,10273,,,,
4,2016,Gunnison,,14378,,,,
4,2016,Jefferson,42725,65274,,,,
4,2016,La Plata,11345,47159,,,,
4,2016,Larimer,35866,93180,,,,
4,2016,Las Animas,,29997,,,,
4,2016,Montezuma,2886,20885,,,,
4,2016,Park,,6662,,,,
4,2016,Pitkin,6138,22556,,,,
4,2016,Pueblo,10557,42687,,,,
4,2016,Routt,6183,22235,,,,
4,2016,Summit,,55819,,,,
4,2016,Weld,,25947,,,,
4,2016,Remainder of State,30207,142619,"Alamosa, Archuleta, Chaffee, Costilla, Gilpin, Grand, Gunnison, Las Animas, Mesa, Moffat, Montrose, Morgan, Ouray, Park, San Miguel, Sedgwick, Summit, Teller and Weld","Archuletta, El Paso, Huerfano, Lake, Mesa, Morgan, Ouray,Saguache, San Miguel and Sedgwick.",,
5,2016,Adams,17594,140229,,,,
5,2016,Arapahoe,62995,256522,,,,
5,2016,Boulder,80529,164305,,,,
5,2016,Chaffee,,8654,,,,
5,2016,Clear Creek,2372,9744,,,,
5,2016,Conejos,,6314,,,,
5,2016,Costilla,,5163,,,,
5,2016,Denver,518807,770799,,,,
5,2016,Eagle,3760,27045,,,,
5,2016,Garfield,15483,29640,,,,
5,2016,Gilpin,,6747,,,,
5,2016,Grand,,6615,,,,
5,2016,Gunnison,,11564,,,,
5,2016,Jefferson,52014,131325,,,,
5,2016,La Plata,11506,43195,,,,
5,2016,Larimer,38172,75328,,,,
5,2016,Las Animas,,43614,,,,
5,2016,Montezuma,3164,20631,,,,
5,2016,Park,,5851,,,,
5,2016,Pitkin,2474,15594,,,,
5,2016,Pueblo,28412,60223,,,,
5,2016,Routt,5292,15859,,,,
5,2016,San Miguel,1538,7413,,,,
5,2016,Summit,6673,54016,,,,
